id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
11569156;Clean spacious onebedroom apartment;60500914;Nayoung;0;Brighton;42.3399832;-71.15504853;Entire home/apt;74;1;0;0;0;1;0
11569331;Family-friendly Dorchester Apt.;2225350;Leah;0;Dorchester;42.29086751;-71.06089323;Entire home/apt;140;2;3;2017-04-18;0.1;1;0
11584799;Sunish & Giulia's Boston room on T;57812241;Alexia;0;Dorchester;42.29368436;-71.06385041;Private room;75;6;22;2018-08-24;0.69;8;329
11589644;Central 1BR in Back Bay by Sonder;12243051;Sonder;0;Back Bay;42.3492031;-71.08035497;Entire home/apt;174;2;50;2018-10-29;1.57;323;156
11590000;Sleek 1BR in Back Bay by Sonder;12243051;Sonder;0;Back Bay;42.34887662;-71.08239763;Entire home/apt;304;2;42;2018-11-02;1.31;323;168
11592154;Sunny Riverview Right In Fenway!;24120885;Nihala;0;Fenway;42.34980104;-71.09535023;Private room;298;14;2;2016-03-27;0.06;1;0
11593592;Luxury Private Room with Organic Breakfast;40117482;Lana;0;East Boston;42.36638654;-71.03328309;Private room;98;1;69;2016-09-27;2.22;1;0
11618815;East Boston waterfront with parking;61523768;James;0;East Boston;42.36629604;-71.03800818;Private room;105;1;98;2018-11-02;3.07;1;288
11624428;Lovely North End condo near Boston Harbor;61571632;Trish;0;North End;42.36303226;-71.05088801;Entire home/apt;325;3;10;2018-10-29;0.31;1;166
11625336;One stop from downtown Boston!;31308810;Carrie;0;East Boston;42.36538454;-71.03093507;Entire home/apt;350;3;1;2016-03-23;0.03;1;0
11634778;2 Bedrooms - South End / Fenway / Back Bay;10477120;Gary;0;Fenway;42.34140074;-71.08422337;Entire home/apt;160;2;138;2018-10-31;4.63;3;104
11639480;Charming Multi Family Home;61701374;Jasiya;0;Roxbury;42.30956345;-71.0870909;Private room;49;10;10;2018-08-17;0.38;2;365
11648212;North End Gem;38107558;Ally;0;North End;42.36638188;-71.05587868;Entire home/apt;145;1;6;2016-04-22;0.18;1;0
11653496;Vacation Penthouse Downtown/Convention Ctr/Subway;6950436;Jonathan;0;South Boston;42.33017748;-71.05234811;Entire home/apt;268;2;42;2018-10-21;1.34;1;84
11656698;Spacious 2 bedroom Apartment.;8898973;Adriana & Gianni;0;Roxbury;42.32333473;-71.09584194;Entire home/apt;189;2;159;2018-11-04;4.9;2;333
11662212;A Suburban Room in Boston;61861112;Erika And Liam;0;West Roxbury;42.29419543;-71.13817106;Private room;65;2;251;2018-11-04;8.47;1;345
11677211;In the heart of Boston!!! Fenway;47928161;Jorge;0;Fenway;42.34256487;-71.09661424;Entire home/apt;200;1;0;0;0;1;0
11688611;Bright 2BR in Brighton by Sonder;12243051;Sonder;0;Brighton;42.33909867;-71.15370802;Entire home/apt;267;2;26;2018-10-14;0.85;323;10
11693129;Charlestown 2 bed, 2 bath condo;9006367;Samantha;0;Charlestown;42.37520611;-71.06284475;Entire home/apt;275;7;19;2018-06-10;0.98;1;133
11695285;Spacious 2Bdrm - Near Airport/Dntwn;14604394;Kate;0;East Boston;42.37505927;-71.03432593;Entire home/apt;195;2;38;2018-06-24;1.18;1;0
